tl,w,loc
120.1,17.9,Argentina
115,17.2,Argentina
111.2,16.8,Argentina
110.2,15.8,Argentina
110,14.3,Argentina
109.7,13.8,Argentina
105,12.8,Argentina
100.1,11.7,Argentina
98,12.8,Argentina
92.1,14.8,Argentina
99,9.7,Argentina
97.9,7.3,Argentina
94.9,7.8,Argentina
92.2,9.1,Argentina
94.9,11.8,Argentina
92.7,11.3,Argentina
92.9,11.9,Argentina
89.9,11.8,Argentina
88.7,10.8,Argentina
92,5.9,Argentina
87.7,5.9,Argentina
85.1,9,Argentina
85.1,9.8,Argentina
82.9,8.7,Argentina
82.9,7.8,Argentina
83.8,5.7,Argentina
82.2,6.7,Argentina
81,8.7,Argentina
78.8,8.4,Argentina
78.8,7.9,Argentina
74.9,6.5,Argentina
68.1,7.3,Argentina
66.8,5.2,Argentina
59.9,3.9,Argentina
113.8,15,Petrohue
112.9,16,Petrohue
108.1,13.3,Petrohue
109.7,11.3,Petrohue
103.7,10.9,Petrohue
103.2,9.8,Petrohue
99.9,9.9,Petrohue
99,10.3,Petrohue
103,12.6,Petrohue
103,10,Petrohue
99.4,10.2,Petrohue
97.9,8.3,Petrohue
97.2,7.9,Petrohue
96.7,8.9,Petrohue
95.1,9.4,Petrohue
92.2,8.9,Petrohue
93,8.1,Petrohue
92.2,8.3,Petrohue
91.2,8.3,Petrohue
88.1,8.3,Petrohue
94.6,6.2,Petrohue
94.3,6.6,Petrohue
92.5,6.6,Petrohue
88.1,8.3,Petrohue
89.8,6.3,Petrohue
88.8,6.3,Petrohue
87.9,6.8,Petrohue
86,6.8,Petrohue
87.4,5.5,Petrohue
68.5,5,Petrohue
80.5,6.1,Puyehue
79,6.6,Puyehue
77.6,7.2,Puyehue
72.8,6.1,Puyehue
77.3,4.1,Puyehue
78.8,4.8,Puyehue
74.5,4.6,Puyehue
72.6,5,Puyehue
73.3,3.7,Puyehue
74,3,Puyehue
75.2,2.5,Puyehue
76.6,3.1,Puyehue
72,2.4,Puyehue
70.6,2.5,Puyehue
71.8,3,Puyehue
70.2,3.7,Puyehue
68.2,3.5,Puyehue
67.3,2.9,Puyehue
67.7,2.4,Puyehue
65.9,2.3,Puyehue
66.3,3.5,Puyehue
64.7,3.6,Puyehue
63,3.7,Puyehue
62.7,3,Puyehue
64.2,2.5,Puyehue
61.3,2.4,Puyehue
64.2,1.6,Puyehue
60.1,1.4,Puyehue
59.4,2.5,Puyehue
57.7,2.6,Puyehue
57.4,1.9,Puyehue
56.5,1.5,Puyehue
54.1,1.8,Puyehue
54.1,2.8,Puyehue
56,3.1,Puyehue
52,1.4,Puyehue
50.8,1.8,Puyehue
49.3,1,Puyehue
43.8,0.7,Puyehue
39.8,0.7,Puyehue
39,0.7,Puyehue
35.4,0.5,Puyehue
36.9,3,Puyehue
32.1,2.8,Puyehue
31.9,0.3,Puyehue
29.2,0.3,Puyehue
25.2,0.3,Puyehue
18,0.1,Puyehue
